11 30 2015 06 35  -6.6  20.2
11 30 2015 06 36  -6.6  20.2
11 30 2015 06 37  -6.6  20.2
11 30 2015 06 38  -6.6  20.2
11 30 2015 06 39  -6.6  20.1
11 30 2015 06 40  -6.6  20.1
11 30 2015 06 41  -6.6  20.2
11 30 2015 06 42  -6.6  20.2
11 30 2015 06 43  -6.6  20.2
11 30 2015 06 44  -6.6  20.2
11 30 2015 06 45  -6.6  20.1
11 30 2015 06 46  -6.6  20.1
11 30 2015 06 47  -6.6  20.2
11 30 2015 06 48  -6.6  20.2
11 30 2015 06 49  -6.6  20.2
11 30 2015 06 50  -6.6  20.2
11 30 2015 06 51  -6.6  20.2
11 30 2015 06 52  -6.5  20.3
11 30 2015 06 53  -6.5  20.3
11 30 2015 06 54  -6.5  20.3
11 30 2015 06 55  -6.5  20.3
11 30 2015 06 56  -6.5  20.3
11 30 2015 06 57  -6.4  20.4
11 30 2015 06 58  -6.4  20.4
11 30 2015 06 59  -6.4  20.5
11 30 2015 07 00  -6.4  20.4
11 30 2015 07 01  -6.4  20.5
11 30 2015 07 02  -6.4  20.5
11 30 2015 07 03  -6.4  20.5
11 30 2015 07 04  -6.4  20.5
11 30 2015 07 05  -6.4  20.5
11 30 2015 07 06  -6.3  20.6
11 30 2015 07 07  -6.3  20.6
11 30 2015 07 08  -6.3  20.6
11 30 2015 07 09  -6.2  20.8
11 30 2015 07 10  -6.2  20.8
11 30 2015 07 11  -6.2  20.8
11 30 2015 07 12  -6.2  20.8
11 30 2015 07 13  -6.2  20.8
11 30 2015 07 14  -6.2  20.8
11 30 2015 07 15  -6.2  20.9
11 30 2015 07 16  -6.2  20.8
11 30 2015 07 17  -6.2  20.8
11 30 2015 07 18  -6.2  20.9
11 30 2015 07 19  -6.2  20.9
11 30 2015 07 20  -6.2  20.9
11 30 2015 07 21  -6.1  21.0
11 30 2015 07 22  -6.1  21.0
11 30 2015 07 23  -6.2  20.9
11 30 2015 07 24  -6.1  21.0
11 30 2015 07 25  -6.1  21.0
11 30 2015 07 26  -6.1  21.0
11 30 2015 07 27  -6.1  21.0
11 30 2015 07 28  -6.1  21.1
11 30 2015 07 29  -6.1  21.0
11 30 2015 07 30  -6.1  21.1
11 30 2015 07 31  -6.1  21.1
11 30 2015 07 32  -6.1  21.1
11 30 2015 07 33  -6.1  21.1
11 30 2015 07 34  -6.0  21.2
11 30 2015 07 35  -6.0  21.2
11 30 2015 07 36  -6.0  21.2
11 30 2015 07 37  -6.0  21.2
11 30 2015 07 38  -5.9  21.3
11 30 2015 07 39  -6.0  21.2
11 30 2015 07 40  -6.0  21.2
11 30 2015 07 41  -5.9  21.3
11 30 2015 07 42  -6.0  21.2
11 30 2015 07 43  -5.9  21.3
11 30 2015 07 44  -5.9  21.3
11 30 2015 07 45  -5.9  21.3
11 30 2015 07 46  -5.9  21.3
11 30 2015 07 47  -5.9  21.3
11 30 2015 07 48  -5.9  21.3
11 30 2015 07 49  -5.9  21.4
11 30 2015 07 50  -6.0  21.2
11 30 2015 07 51  -5.9  21.4
11 30 2015 07 52  -5.9  21.3
11 30 2015 07 53  -5.9  21.4
11 30 2015 07 54  -5.9  21.4
11 30 2015 07 55  -5.9  21.3
11 30 2015 07 56  -5.9  21.3
11 30 2015 07 57  -5.9  21.3
11 30 2015 07 58  -5.9  21.4
11 30 2015 07 59  -5.9  21.4
11 30 2015 08 00  -5.9  21.3
11 30 2015 08 01  -5.8  21.5
11 30 2015 08 02  -5.8  21.5
11 30 2015 08 03  -5.9  21.4
11 30 2015 08 04  -5.8  21.5
11 30 2015 08 05  -5.8  21.5
11 30 2015 08 06  -5.8  21.5
11 30 2015 08 07  -5.8  21.6
11 30 2015 08 08  -5.8  21.5
11 30 2015 08 09  -5.8  21.5
11 30 2015 08 10  -5.8  21.6
11 30 2015 08 11  -5.8  21.6
11 30 2015 08 12  -5.8  21.6
11 30 2015 08 13  -5.7  21.8
11 30 2015 08 14  -5.8  21.6
11 30 2015 08 15  -5.8  21.6
11 30 2015 08 16  -5.8  21.6
11 30 2015 08 17  -5.8  21.6
11 30 2015 08 18  -5.7  21.8
11 30 2015 08 19  -5.7  21.8
11 30 2015 08 20  -5.8  21.6
11 30 2015 08 21  -5.7  21.8
11 30 2015 08 22  -5.7  21.8
11 30 2015 08 23  -5.7  21.8
11 30 2015 08 24  -5.7  21.8
11 30 2015 08 25  -5.7  21.8
11 30 2015 08 26  -5.7  21.8
11 30 2015 08 27  -5.7  21.8
11 30 2015 08 28  -5.7  21.8
11 30 2015 08 29  -5.7  21.8
11 30 2015 08 30  -5.7  21.8
11 30 2015 08 31  -5.7  21.8
11 30 2015 08 32  -5.7  21.8
11 30 2015 08 33  -5.7  21.8
11 30 2015 08 34  -5.6  21.9
11 30 2015 08 35  -5.7  21.8
11 30 2015 08 36  -5.6  21.9
11 30 2015 08 37  -5.7  21.8
11 30 2015 08 38  -5.7  21.8
11 30 2015 08 39  -5.7  21.8
11 30 2015 08 40  -5.6  21.9
11 30 2015 08 41  -5.7  21.8
11 30 2015 08 42  -5.6  21.9
11 30 2015 08 43  -5.7  21.8
11 30 2015 08 44  -5.7  21.8
11 30 2015 08 45  -5.7  21.8
11 30 2015 08 46  -5.7  21.8
11 30 2015 08 47  -5.7  21.8
11 30 2015 08 48  -5.7  21.8
11 30 2015 08 49  -5.7  21.8
11 30 2015 08 50  -5.7  21.8
11 30 2015 08 51  -5.7  21.8
11 30 2015 08 52  -5.7  21.8
11 30 2015 08 53  -5.8  21.6
11 30 2015 08 54  -5.7  21.8
11 30 2015 08 55  -5.8  21.6
11 30 2015 08 56  -5.8  21.6
11 30 2015 08 57  -5.8  21.6
11 30 2015 08 58  -5.7  21.8
11 30 2015 08 59  -5.8  21.6
11 30 2015 09 00  -5.8  21.6
11 30 2015 09 01  -5.7  21.8
11 30 2015 09 02  -5.8  21.6
11 30 2015 09 03  -5.8  21.6
11 30 2015 09 04  -5.8  21.6
11 30 2015 09 05  -5.8  21.6
11 30 2015 09 06  -5.8  21.6
11 30 2015 09 07  -5.8  21.6
11 30 2015 09 08  -5.8  21.6
11 30 2015 09 09  -5.8  21.6
11 30 2015 09 10  -5.8  21.5
11 30 2015 09 11  -5.8  21.5
11 30 2015 09 12  -5.8  21.5
11 30 2015 09 13  -5.8  21.5
11 30 2015 09 14  -5.8  21.5
11 30 2015 09 15  -5.8  21.5
11 30 2015 09 16  -5.8  21.5
11 30 2015 09 17  -5.8  21.5
11 30 2015 09 18  -5.9  21.4
11 30 2015 09 19  -5.8  21.5
11 30 2015 09 20  -5.9  21.4
11 30 2015 09 21  -5.8  21.5
11 30 2015 09 22  -5.8  21.5
11 30 2015 09 23  -5.9  21.4
11 30 2015 09 24  -5.8  21.5
11 30 2015 09 25  -5.8  21.5
11 30 2015 09 26  -5.8  21.5
11 30 2015 09 27  -5.9  21.4
11 30 2015 09 28  -5.9  21.4
11 30 2015 09 29  -5.9  21.4
11 30 2015 09 30  -5.9  21.4
11 30 2015 09 31  -5.9  21.4
11 30 2015 09 32  -5.8  21.5
11 30 2015 09 33  -5.8  21.5
11 30 2015 09 34  -5.9  21.4
11 30 2015 09 35  -5.8  21.5
11 30 2015 09 36  -5.8  21.5
11 30 2015 09 37  -5.8  21.5
11 30 2015 09 38  -5.9  21.4
11 30 2015 09 39  -5.8  21.5
11 30 2015 09 40  -5.8  21.5
11 30 2015 09 41  -5.9  21.4
11 30 2015 09 42  -5.8  21.5
11 30 2015 09 43  -5.8  21.5
11 30 2015 09 44  -5.9  21.4
11 30 2015 09 45  -5.8  21.5
11 30 2015 09 46  -5.8  21.5
11 30 2015 09 47  -5.8  21.5
11 30 2015 09 48  -5.8  21.5
11 30 2015 09 49  -5.8  21.5
11 30 2015 09 50  -5.8  21.5
11 30 2015 09 51  -5.9  21.4
11 30 2015 09 52  -5.9  21.4
11 30 2015 09 53  -5.8  21.5
11 30 2015 09 54  -5.8  21.5
11 30 2015 09 55  -5.8  21.5
11 30 2015 09 56  -5.9  21.4
11 30 2015 09 57  -5.8  21.5
11 30 2015 09 58  -5.8  21.5
11 30 2015 09 59  -5.9  21.4
11 30 2015 10 00  -5.8  21.5
11 30 2015 10 01  -5.8  21.5
11 30 2015 10 02  -5.9  21.4
11 30 2015 10 03  -5.8  21.5
11 30 2015 10 04  -5.8  21.5
11 30 2015 10 05  -5.9  21.4
11 30 2015 10 06  -5.8  21.5
11 30 2015 10 07  -5.8  21.5
11 30 2015 10 08  -5.8  21.5
11 30 2015 10 09  -5.8  21.5
11 30 2015 10 10  -5.8  21.5
11 30 2015 10 11  -5.9  21.4
11 30 2015 10 12  -5.9  21.4
11 30 2015 10 13  -5.8  21.5
11 30 2015 10 14  -5.8  21.5
11 30 2015 10 15  -5.8  21.5
11 30 2015 10 16  -5.9  21.4
11 30 2015 10 17  -5.8  21.5
11 30 2015 10 18  -5.8  21.5
11 30 2015 10 19  -5.8  21.5
11 30 2015 10 20  -5.8  21.5
11 30 2015 10 21  -5.9  21.4
11 30 2015 10 22  -5.9  21.4
11 30 2015 10 23  -5.9  21.4
